"X..i..","source"
"The music in the Victoria's Secret Sport commercial is by #ClementineAndTheGalaxy
http://www.popisms.com/Song/118235/Do-It-Again-by-Clementine-and-The-Galaxy.aspx","VS"
"😍😍😍😍","VS"
"Selena gomez is awsome","VS"
"haha but whatever is there I <3them","VS"
"This chick doesnt look healthy.. eat something :/","VS"
"The bras don't look like they give must support for some reason. The models boobs were still jiggling about and that hurts when you're trying to work out....","VS"
"Yes. Bigger than the summer olympics!!","VS"
"Awesome. Love it ! ❤","VS"
"i cant find the song :(","VS"
"Bae❤💋💋💋❤","VS"
"It feels like I'm watching the exact same advert everytime just with different words flashing up. But of course I still can't help but watch and nod approvingly at the stunning women moving across my screen.","VS"
"third :)","VS"
"secons Jaja 😂😁😁😀😛","VS"
"first :-))","VS"
"Как приятно читать русские титры","VS"
"the jordanin one is better","VS"
"In barcelona spainn pleaseeee 🙏🏻🙏🏻 a shoppp","VS"
"Please come to south america to Argentina, Colombia and Brazil","VS"
"please come to turkey","VS"
"FINALLYYYYYYYYY 😍😍😍😍","VS"
"BEHATI IS MY FAVOURITE EVER","VS"
"WE NEED YOU IN ROMANIA!","VS"
"Wait ! 

What about the sanctions that Obama put on Russia ?? How come they get new shop retailers ??","VS"
"Yaaaaaasssssssss","VS"
"One day, when I'm all grown up I wanna be a lingerie model","VS"
"Please come to Ireland ! 🙏🏼😍","VS"
"So that's why they hired that Russian model that they never use in their commercials? I have a feeling that she's going to get replaced by Josephine Skriver...","VS"
"damn, I want you in Ukraine","VS"
"Where is Kate Grigorieva?","VS"
"круто","VS"
"when is vs opening stores in australia?","VS"
"WHY DON'T YOU OPEN IN BRAZIL? Like, unless the usa, is the country with the most number of your models! For god sake! And use Adri and Ale for it, thanks","VS"
"вау!:)","VS"
"what about opening a big one in brazil??? there are so many angels from here I think we deserve","VS"
"Russia great country liek what they do to faggots","VS"
"+Victoria's Secret Could you please get in touch with Serbia for Victoria Secret.","VS"
"В СПб бы :(","VS"
"please come to Argentina,  I need that store pleaseeee!","VS"
"why not Chile?","VS"
"Why Behati, not Kate?","VS"
"I am so sick of this bitch!!!...Where is Kate???😒","VS"
"The store should be open in Germany ( Düsseldorf ) too *•* it would be amazing","VS"
"Долго же они добирались в Россию)","VS"
"Love Bee 🐝👑","VS"
"PORTUGALLLLLLLLLL PLEASEEEEE! Come Sara Sampaio please!","VS"
"WHAT ABOUT COLOGNE GERMANY OR DÜSSELDORF OR FRANKFURT OR IDK","VS"
"plz bangkok Thailand next 😁❤","VS"
"what about israel?  we have here just 1 store and  without a lot of things like swimsuits","VS"
"pls, coming up to Madrid, at the Gran Vía street","VS"
"when do you guys wanna open store in Antartica? Those penguins wanna wear those bikini.","VS"
"you should´ve use kate grigorieva for this.","VS"
"аааааааааааааааааааааааааа!!!!!♥♥♥♥♥♥♥♥♥","VS"
"please do it in Perú 😩","VS"
"please do it in Perú 😩","VS"
"Open in Tel Aviv Israel pleas!!","VS"
"Именно сейчас хочется сказать спасибо маме за то, что я родилась в России, а не в Швейцарии или в Германии)))","VS"
"Wow!! So fun :)","VS"
"Oh, waiting for this so much!!! I love Европейский moll so much and happy that this shop will open there!","VS"
"Yay! I wait for it so long! ♥","VS"
"Come to Spain!","VS"
"Perfeitas e Divas!","VS"
"Perfeitas e Divas!","VS"
"isnt russia under US sanctions???","VS"
"please come to Germany!!! Düsseldorf!!","VS"
"Um, hello? Sydney's waiting for you big time!!!","VS"
"What about Brazil???","VS"
"Why to Russia???? WHYYYYY???? Come to Switzerland!!","VS"
"Fake they are not allowed in Russia, FAKE not true","VS"
"Come to Croatia.Please 🙏🙏🙏🙏🙏","VS"
"I need Victoria's Secret in Spain 💕🙆😻","VS"
"is there a store in Mexico?","VS"
"Really dumb...why they didn't take Kate G. For this announcement? ....😐😡","VS"
"Victoria's Secret should definitely come to Germany","VS"
"We realy need VS stores in germany!","VS"
"thats surprizing though","VS"
"То чувство,когда совершенно нет денег.😭","VS"
"FINALY!!!!! OMG THATS INCREDIBLE!!!!!","VS"
"Argentina next?","VS"
"Come to Peru! We love VS","VS"
"What's  a time of opening?","VS"
"Наконец)))","VS"
"Hope she is wears the fantasy bra, she deserve it so much!","VS"
"Интересно, спортивной серией  нас порадуют, или завезут только китайского пуш-апа?
Но вообще конечно замечательное время они выбрали для открытия в России, население у нас не богатеет -_-'","VS"
"Portugal","VS"
"AND ROMANIA? COME TO ROMANIA 2 OMGGGGGGG PLEASEEEEEEEE","VS"
"Krruutooooooo","VS"
"AMSTERDAM IS WAITING!!!!!!!! ","VS"
"I love Behati😙😘is 💕amazing and pretty💋","VS"
"We need more Vs store in Turkey. Only istanbul and ankara why ? :(","VS"
"Please come to Germany!!!","VS"
"Please come to Germany!!!","VS"
"Yaaaaaaas","VS"
"Оу, наконец-то!)","VS"
"хочу плакать,потому что живу не в Москве:(","VS"
"South Korea, please??","VS"
"урааа","VS"
"WHAT ABOUT SPAIN:((((((((((","VS"
"Where can we find more Information about that? For example what time does it start? And are there coming any Victoria's secret models to the grand opening?","VS"
"Ура!😘","VS"
"i love how you can hear her struggling and smiling when shes trying to pronounce europiesky mall lol","VS"
"Ок, это так мило :з","VS"
"Так уж давно открыт микро-магазинчик там. Походу больше сделали...","VS"
"WE NEED VICTORIA'S SECRET IN GERMANY. COME ON WE NEED IT!!!","VS"
"I'm so excited!!! Thank you so much from Russia^_^","VS"
"Please come to Düsseldorf or cologne (Germany) please❤️❤️❤️❤️❤️","VS"
"то чувство когда ты из России, но не из Москвы","VS"
"They should've used Kate for this. She's Russian if I'm not wrong. Behavior is still awesome!","VS"
"Почему только в Москве 😿","VS"
"Victoria's Secret is bullshit the angel line up is terrible and the costumes of the show were ugly","VS"
"PLEASE LET BEHATI WEAR THE FANTASY BRA THIS YEAR","VS"
"Finalyyyyy! Thankfully I live in Moscow😻","VS"
"India too pls!!","VS"
"We want a VS Shop in Spain!!!!!!","VS"
"Ура!!!","VS"
"Как приятно читать русские титры","VS"
"the jordanin one is better","VS"
"In barcelona spainn pleaseeee 🙏🏻🙏🏻 a shoppp","VS"
"Please come to south america to Argentina, Colombia and Brazil","VS"
"please come to turkey","VS"
"FINALLYYYYYYYYY 😍😍😍😍","VS"
"BEHATI IS MY FAVOURITE EVER","VS"
"WE NEED YOU IN ROMANIA!","VS"
"Wait ! 

What about the sanctions that Obama put on Russia ?? How come they get new shop retailers ??","VS"
"Yaaaaaasssssssss","VS"
"One day, when I'm all grown up I wanna be a lingerie model","VS"
"Please come to Ireland ! 🙏🏼😍","VS"
"So that's why they hired that Russian model that they never use in their commercials? I have a feeling that she's going to get replaced by Josephine Skriver...","VS"
"damn, I want you in Ukraine","VS"
"Where is Kate Grigorieva?","VS"
"круто","VS"
"when is vs opening stores in australia?","VS"
"WHY DON'T YOU OPEN IN BRAZIL? Like, unless the usa, is the country with the most number of your models! For god sake! And use Adri and Ale for it, thanks","VS"
"вау!:)","VS"
"what about opening a big one in brazil??? there are so many angels from here I think we deserve","VS"
"Russia great country liek what they do to faggots","VS"
"+Victoria's Secret Could you please get in touch with Serbia for Victoria Secret.","VS"
"В СПб бы :(","VS"
"please come to Argentina,  I need that store pleaseeee!","VS"
"why not Chile?","VS"
"Why Behati, not Kate?","VS"
"I am so sick of this bitch!!!...Where is Kate???😒","VS"
"The store should be open in Germany ( Düsseldorf ) too *•* it would be amazing","VS"
"Долго же они добирались в Россию)","VS"
"Love Bee 🐝👑","VS"
"PORTUGALLLLLLLLLL PLEASEEEEE! Come Sara Sampaio please!","VS"
"WHAT ABOUT COLOGNE GERMANY OR DÜSSELDORF OR FRANKFURT OR IDK","VS"
"plz bangkok Thailand next 😁❤","VS"
"what about israel?  we have here just 1 store and  without a lot of things like swimsuits","VS"
"pls, coming up to Madrid, at the Gran Vía street","VS"
"when do you guys wanna open store in Antartica? Those penguins wanna wear those bikini.","VS"
"you should´ve use kate grigorieva for this.","VS"
"аааааааааааааааааааааааааа!!!!!♥♥♥♥♥♥♥♥♥","VS"
"please do it in Perú 😩","VS"
"please do it in Perú 😩","VS"
"Open in Tel Aviv Israel pleas!!","VS"
"Именно сейчас хочется сказать спасибо маме за то, что я родилась в России, а не в Швейцарии или в Германии)))","VS"
"Wow!! So fun :)","VS"
"Oh, waiting for this so much!!! I love Европейский moll so much and happy that this shop will open there!","VS"
"Yay! I wait for it so long! ♥","VS"
"Come to Spain!","VS"
"Perfeitas e Divas!","VS"
"Perfeitas e Divas!","VS"
"isnt russia under US sanctions???","VS"
"please come to Germany!!! Düsseldorf!!","VS"
"Um, hello? Sydney's waiting for you big time!!!","VS"
"What about Brazil???","VS"
"Why to Russia???? WHYYYYY???? Come to Switzerland!!","VS"
"Fake they are not allowed in Russia, FAKE not true","VS"
"Come to Croatia.Please 🙏🙏🙏🙏🙏","VS"
"I need Victoria's Secret in Spain 💕🙆😻","VS"
"is there a store in Mexico?","VS"
"Really dumb...why they didn't take Kate G. For this announcement? ....😐😡","VS"
"Victoria's Secret should definitely come to Germany","VS"
"We realy need VS stores in germany!","VS"
"thats surprizing though","VS"
"То чувство,когда совершенно нет денег.😭","VS"
"FINALY!!!!! OMG THATS INCREDIBLE!!!!!","VS"
"Argentina next?","VS"
"Come to Peru! We love VS","VS"
"What's  a time of opening?","VS"
"Наконец)))","VS"
"Hope she is wears the fantasy bra, she deserve it so much!","VS"
"Интересно, спортивной серией  нас порадуют, или завезут только китайского пуш-апа?
Но вообще конечно замечательное время они выбрали для открытия в России, население у нас не богатеет -_-'","VS"
"Portugal","VS"
"AND ROMANIA? COME TO ROMANIA 2 OMGGGGGGG PLEASEEEEEEEE","VS"
"Krruutooooooo","VS"
"AMSTERDAM IS WAITING!!!!!!!! ","VS"
"I love Behati😙😘is 💕amazing and pretty💋","VS"
"We need more Vs store in Turkey. Only istanbul and ankara why ? :(","VS"
"Please come to Germany!!!","VS"
"Please come to Germany!!!","VS"
"Yaaaaaaas","VS"
"Оу, наконец-то!)","VS"
"хочу плакать,потому что живу не в Москве:(","VS"
"South Korea, please??","VS"
"урааа","VS"
"WHAT ABOUT SPAIN:((((((((((","VS"
"Where can we find more Information about that? For example what time does it start? And are there coming any Victoria's secret models to the grand opening?","VS"
"Ура!😘","VS"
"i love how you can hear her struggling and smiling when shes trying to pronounce europiesky mall lol","VS"
"Ок, это так мило :з","VS"
"Так уж давно открыт микро-магазинчик там. Походу больше сделали...","VS"
"WE NEED VICTORIA'S SECRET IN GERMANY. COME ON WE NEED IT!!!","VS"
"I'm so excited!!! Thank you so much from Russia^_^","VS"
"Please come to Düsseldorf or cologne (Germany) please❤️❤️❤️❤️❤️","VS"
"то чувство когда ты из России, но не из Москвы","VS"
"They should've used Kate for this. She's Russian if I'm not wrong. Behavior is still awesome!","VS"
"Почему только в Москве 😿","VS"
"Victoria's Secret is bullshit the angel line up is terrible and the costumes of the show were ugly","VS"
"PLEASE LET BEHATI WEAR THE FANTASY BRA THIS YEAR","VS"
"Finalyyyyy! Thankfully I live in Moscow😻","VS"
"India too pls!!","VS"
"We want a VS Shop in Spain!!!!!!","VS"
"Ура!!!","VS"
"Anybody knows what song in the background here?","VS"
"I love the girls, but I miss just having Adriana, Alessandra, Behati, Doutzen, etc,.","VS"
"What a life...","VS"
"WHERE IS ALE AND ADRIANA 
BETTER BE ON 2ND TEASER","VS"
"without adriana lima has no grace, I will not attend","VS"
"WHERE IN THE FUCKING COW WHO FUCKED AN ELF WHO PEED IN MY GARDEN ARE ALESSANDRA AND ADRIANA?","VS"
"Where tf are queens Adri and Ale???","VS"
"@ericaptael","VS"
"Plz  plz Tell gig keep hands away from hot guys (Zayn)","VS"
"wow, looove so much, i'm sooo crazy for look at this","VS"
"I know Victoria's Secret!","VS"
"VS is Worse and Worse every year.Lame.
New models are boring..,not sexy,beautiful and notthing special.
Old models are old and retired alots.Sad....","VS"
"Omg I cant wait I love all the angels I look up to all of you. I cant wait so excited!!!!","VS"
"Sara Sampaio is the my fab brunete ever","VS"
"next year bring gigi","VS"
"I love Taylor Hill & she's from Denver❣","VS"
"They are so blessed😫 Like why can't this world be more fair🙄","VS"
"Elsa and Candice😍😍","VS"
"no Adriana, defiantly won't watch","VS"
"it was a bad teaser I couldn't see anyone face except Candice and Sara","VS"
"Candice and Sara face is really perfection","VS"
"where is adriana?","VS"
"TAYLOR HILL!!!!! 😻😻😻❤️❤️❤️","VS"
"Where is Adriana?😱
I'll don't watch it because she missed💢","VS"
"squad goals","VS"
"So pretty ladies !","VS"
"wHERE IS ADRIANA LIMA?!","VS"
"wHERE IS ADRIANA MOM LIMA?!?!?!","VS"
"What's Victoria secrets email","VS"
"Sara the Portuguese queen of VS, stunning as always.","VS"
"I can't wait for the Swim Special! Candice looks AMAZING as always! It needs to be summer now so I can get my hands on some of these VS suits!","VS"
"That would be ""St. Barts"" not ""St. Barth"", angles. But it's so easy to forgive and forget. xo","VS"
"Taylor Hill >>>","VS"
"I'm glad Elsa is on the cover. FAVE.","VS"
"Saya is beauty","VS"
"Well that was hardly worth the click . . .","VS"
"Where is Ale and Adriana?!? Is incomplete, but all are bebeautiful, amazing","VS"
"So excited 😍","VS"
"I feel like it's not gonna be as good as the first one and without adri or ale","VS"
"Sara, Lais, Elsa and queen Candice YAAAASSS.... But, WHERE THE FUCK ARE ALE AND ADRIANA?","VS"
"Who's in it this year?","VS"
"Does someone know the song that was played in the back? :)","VS"
"We want a Victoria secret store in Curaçao","VS"
"Lais!!","VS"
"March?? oh come on","VS"
"Show de video","VS"
"watch out jay alvarrez the angels are trying out extreme sports now too!!","VS"
"perfect angels 😍","VS"
"Not gonna lie Victoria's Secret models live an amazing life!","VS"
"Candice :P","VS"
"Mayb its because of me....But i still dont really see the new angel are ""that angel"" . Mayb its because the older angel are "" too angel"" and im used to that more :)","VS"
"SARA is a Goddess","VS"
"Will be watching when on in uk","VS"
"BEHATI >>>>>","VS"
"SO INCREDIBLY EXCITED FOR THIS 😍","VS"
"THIS WAS ONLY 14 SECONDS BUT IM SO EXCITEDDDD","VS"
"I WANT THEY'RE LIFES","VS"
"I WANT THEY'RE LIFES","VS"
"WE WANT MORE KATE PLEASEE!","VS"
"Demi and Nick 3","VS"
"I'm SOOOO excited!!!","VS"
"Marching 9th","VS"
"we want a Victoria's secret store in germany please!!!!","VS"
"Please,open a little Victoria's Secret store in Argentina","VS"
"Candice ❤️","VS"
"JOSEPHINE ♥","VS"
"Omg Cant wait 😍","VS"
"Turkeyy","VS"
"SARA ♥","VS"
"YEAYYYYY","VS"
"my countdown is set","VS"
"OMG I'VE NEVER COMMENTED THIS EARLY ON A VIDEO BUT IM LITERALLY GONNA DIE OF EXCITEMENT AAAHHHH","VS"
"👎👎👎","VS"
"hello is the video is very amazing😀😃","VS"
"Amazing! I'm waiting for it!!! 😍","VS"
"cmon just 15 seconds","VS"
"They are so pretty","VS"
"perfect 😍❤❤","VS"
"deym","VS"
"second😅😁😀","VS"
"Wow! I like it😘❤️🎀🎀👄","VS"
"1","VS"
"Lewy and Griezmann are better .","VS"
"So VS gonna make American football clothes for women never seen that coming","VS"
"Lima surveys the D....LMFAO sorry ill leave now","VS"
"xxxviii","VS"
"Just when u think American football can't get any shitter ! Why Wud we want to watch them dressed like this!","VS"
"honestly I'm starting to like these new angels (except for stella and martha) vs wasn't like before and I accept that now. things change and so will VS so we should just start accepting the fact that these are our new angels if you can't live with that well there are other people who adore these models.","VS"
"Alessandra and Adriana saved this commercial","VS"
"laughing my ass off!!!","VS"
"N","VS"
"slayzzzzzzzz","VS"
"VS has really gone down hill.","VS"
"That ending dance tho","VS"
"everyone complaining about how stupid the commercial is but i think it's great lol 😂","VS"
"NO!NO,NO,NO,NO,NO JUST no","VS"
"""They need to score more to win"" Bruh of course they do","VS"
"what the fuck did i just watch...","VS"
"this is much funner the Super Bowl game","VS"
"Uhhhh......Alright then...","VS"
"I WILL SCORE!!!! AND ILL SCORE WITH A VICTORIA SECRET MODEL TO!!!!","VS"
"Adriana is so beutiful ❤😍","VS"
"They are so frail they would break","VS"
"Did VS try to make their brand even more shittier than before  because if they did, they did a truly good job. After destroying the 2015 VSFS, they wrecked their Super Bowl commercial. Good job.","VS"
"lol I thought it was a good commercial. something different!","VS"
"painful","VS"
"I  lost almost 2 mins of my life watching this.","VS"
"They don't even make it to the end zone wtf is this trash?","VS"
"""Great support up front; they're known for that!!

Um why.","VS"
"Wtf was that...","VS"
"wrong and bad at so many levels...","VS"
"Blue should've been the angels color even if Lima looks better in red. It's just confusing. Light blue would've worked too with her looks.","VS"
"WOW Too Many Rude Ass People!! Geez.","VS"
"Boring","VS"
"Taylor Hill Rookie of the Year!","VS"
"Number 83 needs to eat a sandwich, fuck that girl is skinny.","VS"
"I hate vs shit- just pretend porn- but this is rather tasteful and the beauty of their faces is allowed to stand on it's own.","VS"
"Silly","VS"
"This is sad, at least Adriana is in the commercial...","VS"
"ouh !!!! really . esa parte de que she looks like a ballerina es casi igual que una escena en la pelicula entrenando a papa cuando el locutor dice parece que joe kingman casi esta bailando que copia.","VS"
"""Where is candice"" ""where is sara"" you all just shut the fuck up, you cant expect every angel to be in every commercial! They only can work so much, especially under victoria secret's time consuming contracts! They have to use the girls in rotation. And yes a select few do get pushed more than others but thats business! You guys sound like kids!","VS"
"Go Elsa! 😂😘","VS"
"too thin to play football. Stick with Legends Football League!","VS"
"i miss candice","VS"
"wtf??? lol","VS"
"Wtf","VS"
"No Sara ?? Boo.. Terrible commercial , these beautiful ladies don't need to be turned into men.. Thanks, but no thanks ..","VS"
"Adriana Lima owns the commercial","VS"
"LOL Lima surveys the D","VS"
"That was so awkward","VS"
"inreiblemente","VS"
"Behati is my fav","VS"
"This is ridiculous","VS"
"Too much clothes.","VS"
"Lindas","VS"
"What is this crap!!!????😨","VS"
"this made me cringe through the entire video","VS"
"Where's behati?? ://","VS"
"This is so stupid. Made me cringe the whole time. The dancing and music is horrible. I prefer the last year's video it was so fierce compared to this childish music video or whatever. And the new angels suck but at least adriana and ale was there but still candice, lily and behati wasn't there. So fuck this shit.","VS"
"Where's Candice! Seriously , she's like the best vs angel but she's not here! And seriously VS ads are getting corny af now. Last years was better","VS"
"I think the old version much more better.
the team is wow. miss hill is really not fit for this commercial.","VS"
"ayeeeee elsa","VS"
"1.Vs use hill tookes and hosk more than lima & ambrossio in this video. 2. Where the fuck behati candice? Behati and candice can kill this commercial with her personality. 3. Not hating on tookes, but she look so weak 4. I dont know whats going on with vs","VS"
"""Lima surveys th D""","VS"
"And Lima surveys the D","VS"
"Alessandra and adriana ❤️❤️❤️❤️❤️❤️❤️","VS"
"Why does Victoria secret have to ruin everything?!","VS"
"We wants ass","VS"
"Why the fuck are you taking a shotgun snap when your trying to run the clock out???? Just take a knee!!","VS"
"need more angels and less clothes please!","VS"
"They still play better than the Browns lmao","VS"
"Lima surveys the D 0:43","VS"
"Adriana is forever Queen 👑","VS"
"Sexy touchdown","VS"
"Elsa is ❤","VS"
"candice?","VS"
"good thing is that lily isn.t there !","VS"
"Love this
Commercial😍 but where is bee ??","VS"
"I'd love for Lima to survey my D","VS"
"Where the hell Is Sara Sampaio and Candice Swanepoe? They're the best after Adriana.","VS"
"Where in the world is Candice?!","VS"
"#notrealfootball","VS"
"Ok this was dumb... I didn't expect it to be so bad.. But it was..","VS"
"That's one bad commercial. What's going on with VS? This is not sexy or anything. Just bad","VS"
"very bad commercial! and where is Candice?!? :/","VS"
"Adriana Lima is everything. So beautiful inside and out.","VS"
"Am I the only one who liked this??","VS"
"Well, this has all manner of fail splayed all over it.

See, here's a tip:  You have to put them in BRAS and PANTIES.","VS"
"where's Sara? Only new angel who's worth It","VS"
"where's Sara? Only new angel who's worth It","VS"
"This is the worst commercial of VS, by far... This is not what you want to see? You want to see confident, sexy, bombshell women owning it. Not some kids dancing around.","VS"
"What the fuck is this","VS"
"It's pathetic that vs only uses Alessandra and Adriana to have more viewers. Vs isn't vs anymore.","VS"
"where's Sara???","VS"
"Sorry i don't like it where's Candice & Behati??","VS"
"score more
😜","VS"
"This is pathetic. Its sad to see our society is at a point where guys are indoctrinated to payup for intimacy one way or the other.  What does that make these women ?","VS"
"What is this 😂😂😂 last year's was so much better","VS"
"Adriana is bae","VS"
"I am not ready for ale and adri to leave like ever. I love them too much.","VS"
"Please, sign up in the fallopian participated in the fallopian I promise you","VS"
"ترجم!

ارجوك اشترك في قناتي وساشترك ففي قناتك انا اعدك
عرض الترجمة لـ ارجوك اشترك في قناتي واشترك في قناتي انا اعدك
الترجمة بدلاً من ذلك من ارجوك اشترك في قناتي وساشترك ففي قناتك انا اعدك
Please, sign up in the fallopian participated in the fallopian I promise you","VS"
"Lewy and Griezmann are better .","VS"
"So VS gonna make American football clothes for women never seen that coming","VS"
"Lima surveys the D....LMFAO sorry ill leave now","VS"
"xxxviii","VS"
"Just when u think American football can't get any shitter ! Why Wud we want to watch them dressed like this!","VS"
"honestly I'm starting to like these new angels (except for stella and martha) vs wasn't like before and I accept that now. things change and so will VS so we should just start accepting the fact that these are our new angels if you can't live with that well there are other people who adore these models.","VS"
"Alessandra and Adriana saved this commercial","VS"
"laughing my ass off!!!","VS"
"N","VS"
"slayzzzzzzzz","VS"
"VS has really gone down hill.","VS"
"That ending dance tho","VS"
"everyone complaining about how stupid the commercial is but i think it's great lol 😂","VS"
"NO!NO,NO,NO,NO,NO JUST no","VS"
"""They need to score more to win"" Bruh of course they do","VS"
"what the fuck did i just watch...","VS"
"this is much funner the Super Bowl game","VS"
"Uhhhh......Alright then...","VS"
"I WILL SCORE!!!! AND ILL SCORE WITH A VICTORIA SECRET MODEL TO!!!!","VS"
"Adriana is so beutiful ❤😍","VS"
"They are so frail they would break","VS"
"Did VS try to make their brand even more shittier than before  because if they did, they did a truly good job. After destroying the 2015 VSFS, they wrecked their Super Bowl commercial. Good job.","VS"
"lol I thought it was a good commercial. something different!","VS"
"painful","VS"
"I  lost almost 2 mins of my life watching this.","VS"
"They don't even make it to the end zone wtf is this trash?","VS"
"""Great support up front; they're known for that!!

Um why.","VS"
"Wtf was that...","VS"
"wrong and bad at so many levels...","VS"
"Blue should've been the angels color even if Lima looks better in red. It's just confusing. Light blue would've worked too with her looks.","VS"
"WOW Too Many Rude Ass People!! Geez.","VS"
"Boring","VS"
"Taylor Hill Rookie of the Year!","VS"
"Number 83 needs to eat a sandwich, fuck that girl is skinny.","VS"
"I hate vs shit- just pretend porn- but this is rather tasteful and the beauty of their faces is allowed to stand on it's own.","VS"
"Silly","VS"
"This is sad, at least Adriana is in the commercial...","VS"
"ouh !!!! really . esa parte de que she looks like a ballerina es casi igual que una escena en la pelicula entrenando a papa cuando el locutor dice parece que joe kingman casi esta bailando que copia.","VS"
"""Where is candice"" ""where is sara"" you all just shut the fuck up, you cant expect every angel to be in every commercial! They only can work so much, especially under victoria secret's time consuming contracts! They have to use the girls in rotation. And yes a select few do get pushed more than others but thats business! You guys sound like kids!","VS"
